News ID,Date,Title,Content,Image URL
87023,ජන 02 පෙ.ව.  8:56,බස් ගාස්තු මෙන් දුම්රිය ගාස්තු ද වැඩි කළ යුතු බවට ඉල්ලීමක්,බස් ගාස්තු මෙන් දුම්රිය ගාස්තු ද වැඩි කළ යුතු බව දුම්රිය සාමාන්‍යාධිකාරී ධම්මික ජයසුන්දර පවසනවා.   ඒ අනුව ඔහු පෙන්වා දෙන්නේ දුම්රිය දෙපාර්තමේන්තුව දිගින් දිගටම පාඩු ලබන බැවින් එම තත්ත්වය මගහරවා ගැනීම සඳහා දුම්රිය ගාස්තු ද වැඩි කළ යුතු බවට මේ වන විට ප්‍රවාහන බලධාරීන්ගෙන් ඉල්ලීමක් ද සිදු කර ඇති බවයි.  බස් ගාස්තු මෙන් දුම්රිය ගාස්තු ද වැඩි කළ හොත් සිදු කරන මෙහෙයුම් වියදම සොයාගත හැකි බවයි ඔහු වැඩිදුරටත් පෙන්වා දෙන්නේ.,https://news.bhashalanka.com/image-library/train-epty.png
87024,ජන 02 පෙ.ව.  9:06,ඖෂධ හිඟයක් ඇතිනොවෙන්න වගබලා ගන්නවා - කෙහෙළිය රඹුක්වැල්ල,රට තුළ පවතින විදේශ විනිමය අර්බුදය හේතුවෙන් අත්‍යවශ්‍ය ඖෂධ ගෙන්වීමට ද යම් බලපෑමක් එල්ලවී ඇතැයි සෞඛ්‍ය අමාත්‍ය කෙහෙළිය රඹුක්වැල්ල පවසනවා.  කෙසේවෙතත් රටතුළ ඖෂධ හිඟයක් ඇති නොවීම සඳහා වැඩපිළවෙලක් සකස් කරමින් ඇති බවයි අමාත්‍යවරයා සඳහන් කළේ.  සෞඛ්‍ය අංශයට ලබාදිය යුතු සියලුම අවශ්‍යතාවයන් ලබාදීමට ප්‍රමුඛත්වය ලබාදෙන ලෙස ජනාධිපතිවරයාද උපදෙස් ලබාදී ඇති බවයි සෞඛ්‍ය අමාත්‍යවරයා වැඩිදුරටත් ප්‍රකාශ කළේ.,https://news.bhashalanka.com/image-library/tablet-medicine.jpg
87025,ජන 02 පෙ.ව.  9:19,රාජ්‍ය සේවය හෙට සිට සාමාන්‍ය පරිදි,"රාජ්‍ය සේවා කටයුතු හෙට (03) දිනයේ සිට සාමාන්‍ය පරිදි ක්‍රියාත්මක  වන බව රාජ්‍ය සේවා, පළාත් සභා හා පළාත් පාලන අමාත්‍යාංශය පවසනවා.  ඊට අදාළ උපදෙස් මේ වනවිටත් අමාත්‍යාංශ ලේකම්වරුන් ඇතුළු රාජ්‍ය ආයතන ප්‍රධානීන් වෙත නිකුත් කර ඇති බවයි එම අමාත්‍යාංශය සඳහන් කළේ.",https://news.bhashalanka.com/image-library/gov-office.jpg
87026,ජන 02 පෙ.ව.  9:27,පසුගිය වසරේ වැඩිම උද්ධමනය දෙසැම්බර් මාසයේ - 12% ඉක්මවයි,"පසුගිය වසරේ වැඩිම උද්ධමනය පසුගිය දෙසැම්බර් මාසයේදී වාර්තා වී තිබෙනවා.  ඒ අනුව පසුගිය දෙසැම්බර් මාසයේදී මතුපිට උද්ධමනය සියයට 12.1 ක් වන අතර නොවැම්බර් මාසයේ එය වාර්තා වී තිබුනේ සියයට 9.9 ක් ලෙසයි.  මෙය පෙර මාසයට සාපේක්ෂව සියයට 2.2 ක ඉහළ යෑමක් බවයි ශ්‍රී ලංකා මහබැංකුව පෙන්වා දෙන්නේ.  ආහාර සහ ආහාර නොවන කාණ්ඩ දෙකෙහිම මිල ගණන්වල සිදුවී ඇති ඉහළ යෑම මෙම තත්ත්වයට හේතුවී ඇති බවයි එම නිවේදනයේ වැඩිදුරටත් දැක්වෙන්නේ.  අදාළ නිවේදනය පහතින්,",https://news.bhashalanka.com/image-library/Inflation.jpg
87027,ජන 02 ප.ව.  12:18,නව පාසල් වාරය හෙට ආරම්භ වෙයි,සෞඛ්‍ය මාර්ගෝපදේශවලට අනුකූලව දිවයිනේ සියලුම රජයේ සහ රජයේ අනුමත පාසල් නව වසරේ අධ්‍යයන කටයුතු සඳහා හෙටින් (03) ආරම්භ කිරීමට නියමිතව තිබෙනවා.  2021 වසර අවසාන නිවාඩුව දින 10කට පමණක් සීමා වුණා.,https://news.bhashalanka.com/image-library/school3.jpg
87028,ජන 02 ප.ව.  3:16,තවත් කොරෝනා ආසාදිතයන් 224 ක් සුවය ලබයි,"තවත් කොරෝනා ආසාදිතයන් 224 ක් පූර්ණ සුවය ලබා ඇති බව සෞඛ්‍ය අමාත්‍යාංශය නිවේදනය කරනවා.  ඒ අනුව මෙතෙක් සුවය ලැබූ සංඛ්‍යාව 560,949 දක්වා ඉහළ ගොස් තිබෙනවා.  යාවත්කාලීන කොරෝනා තතු සියල්ල පහතින්. https://helakuru.lk/corona",https://news.bhashalanka.com/image-library/recovered.jpg
87029,ජන 02 ප.ව.  4:56,ජනාධිපති ගෝඨාභය රාජපක්ෂ මැතිතුමන් වෙත ශ්‍රී ලංකාධීශ්වර පද්ම විභූෂණ ගෞරවාභිධානය පිරිනමයි.,"අතිගරු ජනාධිපති ගෝඨාභය රාජපක්ෂ මැතිතුමන් වෙත, මීට කෙටි වේලාවකට පෙර මහාවිහාරවංශික ශ්‍රී ජයවර්ධනපුර කෝට්ටේ ශ්‍රී කල්‍යාණී සාමග්‍රිධර්ම මහාසංඝසභාව මගින් ශ්‍රී ලංකාධීශ්වර පද්ම විභූෂණ ගෞරවාභිධානය පිරිනමන ලදී.",http://news.bhashalanka.com/mahajananiwedana.jpg
87030,ජන 02 ප.ව.  5:31,ජනපතිට “ශ්‍රී ලංකාධීශ්වර පද්ම විභූෂණ” ගෞරවාභිධානය පිරිනමයි,ජනාධිපති ගෝඨාභය රාජපක්ෂ වෙත “ශ්‍රී ලංකාධීශ්වර පද්ම විභූෂණ” ගෞරවාභිධානය පිරිනමා  තිබෙනවා.  මහාවිහාරවංශික ශ්‍රී ජයවර්ධනපුර කෝට්ටේ ශ්‍රී කල්‍යාණී සාමග්‍රිධර්ම මහා සංඝ සභාව මගින් මෙය පිරිනමා ඇති බවයි ජනාධිපති මාධ්‍ය ප්‍රකාශකවරයා සඳහන් කළේ.,https://news.bhashalanka.com/image-library/gota-223.jpg
87031,ජන 02 ප.ව.  5:39,"මෙරට කොරෝනා මරණ 15,000 සීමාව ඉක්මවයි","ඊයේ (01) දිනය තුළ කොරෝනා ආසාදිත මරණ‍ 24 ක් සිදු වී ඇති බව සෞඛ්‍ය අධ්‍යක්ෂක ජනරාල්වරයා තහවුරු කරනවා.  මිය ගිය අය අතරට වයස අවුරුදු 30 - 59 අතර පුද්ගලයින් 11 ක්, අවුරුදු 60 වැඩි පුද්ගලයින් 13 දෙනෙක් අයත්.  ඒ සමඟින් මෙර​ට කොරෝනා ආසාදිතව මියගිය සංඛ්‍යාව 15,019 ක් දක්වා ඉහළ ගොස් තිබෙනවා.  සිය​ලු කොරෝනා තතු: https://helakuru.lk/corona",https://news.bhashalanka.com/image-library/corona_death_2.jpg
87032,ජන 02 ප.ව.  8:57,අද කොරෝනා ආසාදිතයින් 339 ක්,අද (02) දිනයේ වාර්තා වූ කොරෝනා ආසාදිතයන් සංඛ්‍යාව 339 ක් බව සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල්වරයා තහවුරු කරනවා.  සියලු කොරෝනා තතු: https://helakuru.lk/corona,https://news.bhashalanka.com/image-library/1603894178corona-update.jpg
